callsign,origin,destination,aircraft_type,time,cargo
AAL3044,KMIA,KCLT,A21N,10:33,false
N532CC,KCLT,KEWN,GA5C,10:33,false
SWA2749,KMDW,KCLT,B738,10:35,false
JIA5179,KCLT,KECP,CRJ9,10:37,false
AAL317,KDFW,KCLT,A321,10:39,false
JIA5143,KCLT,KCRW,CRJ9,10:40,false
PDT5810,KCLT,KHSV,E145,10:41,false
JIA5322,KJAN,KCLT,CRJ9,10:44,false
JIA5219,KIAD,KCLT,CRJ7,10:49,false
PDT6080,KGNV,KCLT,E145,10:50,false
SWA148,KCLT,KDAL,B737,10:50,false
ASH3988,KIAH,KCLT,E75L,10:52,false
AAL2492,KCVG,KCLT,A319,10:58,false
JIA5144,KCMH,KCLT,CRJ9,11:00,false
ASH4012,KCLT,KIAD,E75L,11:02,false
AAL1658,KCLT,KCHS,A319,11:06,false
N644LB,KUZA,KCLT,S22T,11:06,false
AAL2381,KCLT,KRDU,A321,11:07,false
AAL1266,KMSY,KCLT,A321,11:09,false
AAL2279,KCLT,KDJT,A321,11:09,false
AAL3222,KORD,KCLT,A321,11:09,false
AAL1877,KCLT,KFLL,B738,11:11,false
AAL2363,KCLT,KRDU,B738,11:11,false
DAL3190,KATL,KCLT,B712,11:12,false
PDT5802,KCLT,KGSP,E145,11:13,false
AAL1611,KCLT,KBOS,B738,11:14,false
ENY4178,KCLT,KSAV,E75L,11:14,false
JIA5180,KCLT,KHPN,CRJ7,11:15,false
AAL1635,KBWI,KCLT,A319,11:16,false
AAL2153,KCLT,KMSP,A320,11:17,false
AAL2908,KCLT,KORD,B738,11:17,false
AAL969,KCLT,KMIA,B738,11:17,false
AAL2084,KMCO,KCLT,A321,11:19,false
AAL2310,KPIT,KCLT,A321,11:19,false
AAL1781,KCLT,KDTW,A319,11:20,false
JIA5199,KCLT,KRIC,CRJ9,11:20,false
AAL1616,KCLT,KBUF,B738,11:21,false
JIA5299,KCLT,KMLB,CRJ7,11:22,false
RPA3440,KCLT,KORD,E75L,11:22,false
AAL2427,KRSW,KCLT,B38M,11:24,false
N373CH,KCLT,KZZV,C25B,11:24,false
RPA3448,KCLT,KEWR,E75L,11:24,false
N160DC,KCHS,KCLT,C421,11:26,false
AAL2127,KCLT,KMCO,A321,11:27,false
JIA5388,KCLT,KSBN,CRJ9,11:28,false
JIA5220,KCLT,KIAD,CRJ7,11:29,false
AAL1285,KCLT,KDFW,A321,11:30,false
N572PC,KSVH,KCLT,PC12,11:30,false
AAL3297,KSAT,KCLT,A320,11:31,false
PDT6017,KCLT,KAGS,E145,11:31,false
PDT5796,KCLT,KGSO,E145,11:32,false
DAL1827,KCLT,KMSP,BCS1,11:33,false
ENY3871,KXNA,KCLT,E75L,11:33,false
AAL2001,KCLT,KJAX,B738,11:34,false
JIA5234,KDAY,KCLT,CRJ7,11:35,false
PDT5822,KCLT,KILM,E145,11:35,false
FFT1446,KMCO,KCLT,A21N,11:36,false
PDT6073,KLYH,KCLT,E145,11:36,false
PDT6127,KCLT,KCHA,E145,11:36,false
AAL2853,KCLT,KTUL,B738,11:37,false
FFT1984,KFLL,KCLT,A21N,11:39,false
JIA5349,KCLT,KPNS,CRJ9,11:39,false
PDT5950,KTYS,KCLT,E145,11:39,false
PDT6075,KCLT,KFAY,E145,11:39,false
AAL1886,KAUS,KCLT,A321,11:40,false
N590CJ,KBHM,KCLT,C25B,11:41,false
AAL1085,KCLT,MKJS,A321,11:42,false
JIA5171,KCLT,KLEX,CRJ9,11:42,false
PDT5844,KCLT,KMOB,E145,11:42,false
AAL1666,KCHS,KCLT,A320,11:44,false
AAL2615,KIND,KCLT,A321,11:44,false
AAL3320,KTPA,KCLT,A321,11:44,false
PDT5953,KCLT,KTYS,E145,11:45,false
PDT5994,KCLT,KCAE,E145,11:45,false
AAL1690,KDFW,KCLT,A321,11:46,false
AAL2717,KCLT,KSTL,A319,11:46,false
AAL846,KCLT,KBWI,A319,11:46,false
AAL2134,KCLT,KMKE,A319,11:47,false
AAL2819,KMIA,KCLT,A21N,11:47,false
AAL588,KCLT,KPHX,A321,11:47,false
PDT5946,KTRI,KCLT,E145,11:47,false
JIA5350,KCLT,CYUL,CRJ9,11:48,false
PDT5853,KCLT,KOAJ,E145,11:48,false
PDT6134,KCLT,KMDT,E145,11:48,false
AAL2278,KDJT,KCLT,B38M,11:49,false
AAL2348,KCLT,KPWM,A320,11:49,false
AAL2733,KSTL,KCLT,B738,11:49,false
SWA4529,KCLT,KMDW,B738,11:49,false
AAL886,KCLT,MMUN,B738,11:51,false
PDT5910,KSAV,KCLT,E145,11:51,false
VTE3802,KCLT,KMSL,E135,11:53,false
JIA5093,KCLT,KBTV,CRJ9,11:54,false
PDT5863,KPGV,KCLT,E145,11:54,false
SKW4932,KCLT,KBHM,CRJ7,11:54,false
AAL2033,KCLT,KLGA,A320,11:56,false
AAL3162,KIAH,KCLT,A21N,11:56,false
JIA5262,KLEX,KCLT,CRJ9,11:56,false
DAL2684,KDTW,KCLT,B712,11:57,false
AAL1292,KCLT,KGGE,A321,11:58,false
RPA3504,KEWR,KCLT,E75L,11:58,false
AAL2220,KCLT,KOKC,A320,11:59,false
AAL1865,KFLL,KCLT,A321,12:00,false
AAL2498,KCLT,KPHL,A320,12:00,false
N4CQ,KJQF,KCLT,B06,12:01,false
PDT5820,KILM,KCLT,E145,12:01,false
AAL2812,KCLT,KJFK,B738,12:02,false
ASH6236,KCLT,KIAH,E75L,12:02,false
FFT2396,KIAH,KCLT,A20N,12:02,false
ENY4146,KCLT,KLIT,E75L,12:03,false
PDT5785,KCLT,KGNV,E145,12:03,false
PDT6042,KCAE,KCLT,E145,12:03,false
AAL429,KCVG,KCLT,B738,12:04,false
JIA5444,KCLT,KXNA,CRJ9,12:04,false
AAL1080,KCMH,KCLT,A319,12:06,false
EDV5051,KLGA,KCLT,CRJ9,12:06,false
AAL1763,KCLT,KDSM,A320,12:07,false
PDT6053,KCLT,KCHO,E145,12:08,false
